index,Book Name,Book_average_rating,Book_ratings_count,Publishing Year,genre,gross sales,sale price,sales rank,Publisher,units sold
267,"One Fish, Two Fish, Red Fish, Blue Fish",4.12,117582,1960,nonfiction,706.45,1.99,287,Simon and Schuster Digital Sales Inc,355
268,Watchers,4.16,109595,1987,fiction,1049.49,2.99,289,"Amazon Digital Services,  Inc.",351
269,The Story of My Life,4.07,107313,1902,nonfiction,347.49,0.99,289,"Amazon Digital Services,  Inc.",351
270,This Is Where I Leave You,3.88,98645,2009,fiction,346.5,0.99,290,"Amazon Digital Services,  Inc.",350
271,Abraham Lincoln: Vampire Hunter,3.7,106336,2010,fiction,344.52,0.99,291,"Amazon Digital Services,  Inc.",348
273,The Tempest,3.8,125178,1623,fiction,1025.57,2.99,294,"Amazon Digital Services,  Inc.",343
274,Burned: A House of Night Novel,3.98,120763,2010,fiction,1019.59,2.99,295,"Amazon Digital Services,  Inc.",341
275,Wizard and Glass,4.24,105026,1997,fiction,1019.59,2.99,295,Simon and Schuster Digital Sales Inc,341
276,The Circle,3.46,109412,2013,fiction,3872.6,11.39,296,Penguin Group (USA) LLC,340
277,The Invention of Hugo Cabret,4.23,132159,2007,fiction,1686.62,4.99,297,"Amazon Digital Services,  Inc.",338
278,Brave New World/Brave New World Revisited,4.16,108124,1932,fiction,1676.64,4.99,298,"Amazon Digital Services,  Inc.",336
280,The Good Girl,3.81,100936,2014,fiction,2620.72,7.99,303,Random House LLC,328
281,"Fallen Too Far (Too Far, #1)",4.21,138871,2012,fiction,2875.32,8.82,304,Penguin Group (USA) LLC,326
282,Landline,3.55,113805,2014,fiction,1300.74,3.99,304,"Amazon Digital Services,  Inc.",326
283,Tempted,3.96,127387,2008,fiction,2759.25,8.49,305,HarperCollins Publishers,325
284,No Country for Old Men,4.12,100513,2005,fiction,1611.77,4.99,306,Simon and Schuster Digital Sales Inc,323
285,Wolf Hall,3.85,102936,2009,fiction,2468.49,7.69,307,Penguin Group (USA) LLC,321
286,Howl's Moving Castle,4.3,123945,1986,fiction,950.82,2.99,309,"Amazon Digital Services,  Inc.",318
287,Dreamcatcher,3.59,115855,2001,fiction,1576.84,4.99,310,"Amazon Digital Services,  Inc.",316
288,Walden; or Life in the Woods,3.79,108062,1854,nonfiction,2044.35,6.49,311,Random House LLC,315
289,The Remains of the Day,4.1,105892,1989,nonfiction,1874.87,5.99,312,Random House LLC,313
290,The Best of Me,3.91,103915,2010,fiction,307.89,0.99,313,"Amazon Digital Services,  Inc.",311
291,The Sense of an Ending,3.7,94968,2011,fiction,306.9,0.99,314,"Amazon Digital Services,  Inc.",310
292,A is for Alibi,3.82,116026,1982,fiction,616.9,1.99,314,"Amazon Digital Services,  Inc.",310
294,Shanghai Girls,3.87,106729,2009,nonfiction,2152.92,6.99,315,Penguin Group (USA) LLC,308
295,The Wind in the Willows,3.98,124612,1908,fiction,10327.3,33.86,317,Penguin Group (USA) LLC,305
296,To All the Boys I've Loved Before,4.11,136938,2014,nonfiction,598.99,1.99,319,"Amazon Digital Services,  Inc.",301
297,Persepolis,4.23,117103,2000,fiction,1487.02,4.99,321,Random House LLC,298
298,A Room with a View,3.91,109994,1908,fiction,891.02,2.99,321,"Amazon Digital Services,  Inc.",298
299,The DUFF: Designated Ugly Fat Friend,3.86,136736,2010,fiction,1181.04,3.99,322,"Amazon Digital Services,  Inc.",296
300,Lock and Key,4.01,120475,2008,nonfiction,885.04,2.99,322,"Amazon Digital Services,  Inc.",296
301,Naked in Death,4.13,78028,1995,fiction,1772.95,6.01,323,HarperCollins Publishers,295
302,The Chamber,3.76,102715,1994,fiction,292.05,0.99,323,"Amazon Digital Services,  Inc.",295
303,Midnight Sun (Partial Draft),4.03,138118,2008,fiction,290.07,0.99,324,"Amazon Digital Services,  Inc.",293
305,The Unlikely Pilgrimage of Harold Fry,3.89,94012,2012,fiction,3694.6,12.74,326,Hachette Book Group,290
306,Every Day,3.99,121863,2012,fiction,1149.12,3.99,327,"Amazon Digital Services,  Inc.",288
307,Xenocide,3.77,104467,1991,fiction,1707.15,5.99,329,Simon and Schuster Digital Sales Inc,285
308,The Merchant of Venice,3.78,115621,1596,fiction,427.5,1.5,329,"Amazon Digital Services,  Inc.",285
310,"Lover Awakened (Black Dagger Brotherhood, #3)",4.45,134249,2006,fiction,1412.17,4.99,330,Simon and Schuster Digital Sales Inc,283
311,A Court of Thorns and Roses,4.29,167848,2015,nonfiction,3650.19,12.99,331,"Amazon Digital Services,  Inc.",281
312,,4.13,76876,2012,fiction,1387.22,4.99,333,"Amazon Digital Services,  Inc.",278
313,Chicka Chicka Boom Boom,4.21,105192,1989,fiction,1097.25,3.99,335,Simon and Schuster Digital Sales Inc,275
314,Smile,4.19,98628,2009,fiction,2618.07,9.59,336,HarperCollins Publishers,273
315, Animal Farm & 1984,4.26,116197,1950,fiction,267.3,0.99,338,"Amazon Digital Services,  Inc.",270
316,The Deep End of the Ocean,3.84,102733,1996,fiction,267.3,0.99,338,"Amazon Digital Services,  Inc.",270
317,The Bonesetter's Daughter,3.98,99926,2001,nonfiction,263.34,0.99,340,"Amazon Digital Services,  Inc.",266
318,"Angus, Thongs and Full-Frontal Snogging",3.74,112733,1999,fiction,997.5,3.75,340,"Amazon Digital Services,  Inc.",266
319,Mr. Penumbra's 24-Hour Bookstore,3.75,110552,2012,fiction,1719.85,6.49,341,Hachette Book Group,265
320,Flowers in the Attic,3.79,109063,1979,unknown,1877.82,7.14,342,"Amazon Digital Services,  Inc.",263
321,When Breath Becomes Air,4.32,116771,2016,fiction,1041.39,3.99,343,"Amazon Digital Services,  Inc.",261
322,Maniac Magee,3.86,99831,1990,fiction,777.4,2.99,344,"Amazon Digital Services,  Inc.",260
323,Invisible Monsters,4,54937,1999,fiction,771.42,2.99,345,Simon and Schuster Digital Sales Inc,258
324,"Twelfth Night; or, What You Will",3.97,119607,1601,fiction,1527.45,5.99,347,Penguin Group (USA) LLC,255
325,Gathering Blue,3.8,114917,2000,fiction,997.5,3.99,350,"Amazon Digital Services,  Inc.",250
326,The Westing Game,4.03,117108,1978,fiction,997.5,3.99,350,"Amazon Digital Services,  Inc.",250
327,Red Rising,4.26,104939,2014,fiction,246.51,0.99,351,"Amazon Digital Services,  Inc.",249
328,The Way of Shadows,4.15,109236,2008,fiction,744.51,2.99,351,Random House LLC,249
329,The Bean Trees,3.94,105032,1988,unknown,1635.93,6.57,352,"Amazon Digital Services,  Inc.",249
330,Walking Disaster,4.23,134022,2013,fiction,3221.52,12.99,353,"Amazon Digital Services,  Inc.",248
331,Words of Radiance,4.77,73572,2014,fiction,741.52,2.99,354,HarperCollins Publishers,248
332,Guess How Much I Love You,4.36,104690,1988,fiction,738.53,2.99,355,"Amazon Digital Services,  Inc.",247
333,The Fiery Cross,4.26,103552,2001,fiction,1141.14,4.62,356,Penguin Group (USA) LLC,247
334,Night Shift,3.96,104248,1978,fiction,244.53,0.99,356,"Amazon Digital Services,  Inc.",247
335,Jaws,3.96,102574,1974,fiction,1227.54,4.99,357,Simon and Schuster Digital Sales Inc,246
336,The History of Love,3.91,98379,2005,fiction,977.55,3.99,359,"Amazon Digital Services,  Inc.",245
339,Team of Rivals: The Political Genius of Abraham Lincoln,4.3,102923,2005,fiction,726.57,2.99,364,"Amazon Digital Services,  Inc.",243
340,Dead in the Family,3.88,127379,2010,fiction,1494.45,6.15,364,"Amazon Digital Services,  Inc.",243
341,La peste,3.97,95803,1947,fiction,965.58,3.99,366,"Amazon Digital Services,  Inc.",242
342,The Reptile Room,3.95,130213,1999,fiction,1202.59,4.99,367,Simon and Schuster Digital Sales Inc,241
343,Brain on Fire,4,92849,2012,fiction,2566.65,10.65,368,Hachette Book Group,241
344,Wicked Lovely,3.69,131034,2007,fiction,1197.6,4.99,370,Simon and Schuster Digital Sales Inc,240
345,Curious George,4.13,105473,1941,fiction,236.61,0.99,371,"Amazon Digital Services,  Inc.",239
346,Die unendliche Geschichte,4.17,109110,1979,fiction,953.61,3.99,372,"Amazon Digital Services,  Inc.",239
347,A Beautiful Mind,4.12,98276,1998,fiction,1544.62,6.49,373,Random House LLC,238
348,The Jungle,3.72,97468,1906,fiction,1419.63,5.99,375,Random House LLC,237
349,The Summoning,4.03,132285,2008,fiction,471.63,1.99,376,"Amazon Digital Services,  Inc.",237
350,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,4.04,102419,1985,nonfiction,1182.63,4.99,376,Random House LLC,237
351,Storm Island,4.16,93475,1978,fiction,708.63,2.99,376,"Amazon Digital Services,  Inc.",237
352,The Blind Assassin,3.95,98464,2000,nonfiction,1885.64,7.99,378,HarperCollins Christian Publishing,236
353,Hollow City,4.07,73149,2014,fiction,1642.65,6.99,380,Penguin Group (USA) LLC,235
354,House of Sand and Fog,3.83,55381,1999,fiction,933.66,3.99,381,"Amazon Digital Services,  Inc.",234
355,The Girl with All the Gifts,3.93,99729,2014,fiction,463.67,1.99,383,Simon and Schuster Digital Sales Inc,233
356,As I Lay Dying,3.72,103547,1930,nonfiction,461.68,1.99,385,HarperCollins Publishers,6264
357,Harold and the Purple Crayon,4.24,107221,1955,fiction,925.68,3.99,385,"Amazon Digital Services,  Inc.",6264
358,"Lover Eternal (Black Dagger Brotherhood, #2)",4.35,137558,2006,nonfiction,2460.15,10.65,387,Random House LLC,6237
359,,4.23,96865,1953,nonfiction,690.69,2.99,388,HarperCollins Publishers,6237
360,Fool Moon,4.04,111371,2001,fiction,687.7,2.99,389,Macmillan,6210
361,David and Goliath,3.9,90083,2011,nonfiction,2509.3,10.91,389,Random House LLC,6210
363,Guards! Guards!,4.32,108652,1989,fiction,1142.71,4.99,392,"Amazon Digital Services,  Inc.",6183
364,The Year of Magical Thinking,3.86,94590,2005,fiction,909.72,3.99,393,"Amazon Digital Services,  Inc.",6156
365,We Need to Talk About Kevin,4.07,101343,2003,fiction,5902.92,25.89,393,HarperCollins Publishers,6156
366,Rendezvous with Rama,4.06,93151,1973,fiction,1468.69,6.47,395,"Amazon Digital Services,  Inc.",6129
367,The Queen of the Damned,3.86,110693,1988,fiction,223.74,0.99,397,"Amazon Digital Services,  Inc.",6102
368,The Age of Innocence,3.93,102646,1920,fiction,1188.76,5.26,398,"Amazon Digital Services,  Inc.",6102
369,The Selfish Gene,4.11,96564,1976,fiction,897.75,3.99,400,"Amazon Digital Services,  Inc.",6075
370,Year of Wonders: A Novel of the Plague,4,104283,2001,fiction,221.76,0.99,401,"Amazon Digital Services,  Inc.",6048
371,The Black Echo,4.08,98591,1992,nonfiction,1274.56,5.69,401,"Amazon Digital Services,  Inc.",6048
372,Anthem,3.62,95620,1938,fiction,1112.77,4.99,403,"Amazon Digital Services,  Inc.",6021
373,Gabriel's Inferno,4.02,119633,2011,fiction,1781.77,7.99,404,Penguin Group (USA) LLC,6021
374,Cloudy with a Chance of Meatballs,4.15,104677,1978,fiction,1662.78,7.49,406,Penguin Group (USA) LLC,5994
375,Major Pettigrew's Last Stand,3.87,97745,2010,fiction,660.79,2.99,408,Simon and Schuster Digital Sales Inc,5967
376,Vision in White,4.1,103933,2009,fiction,437.8,1.99,409,Random House LLC,5940
377,The Tenth Circle,3.48,99170,2006,fiction,3955.6,17.98,409,"Amazon Digital Services,  Inc.",5940
378,The Throne of Fire,4.2,116360,2011,nonfiction,2067.36,9.44,411,"Amazon Digital Services,  Inc.",5913
379,Old Man's War,4.23,97653,2005,fiction,1311.81,5.99,412,Macmillan,5913
380,Gerald's Game,3.47,100158,1992,fiction,433.82,1.99,413,"Amazon Digital Services,  Inc.",5886
381,Two for the Dough,4.11,116171,1996,nonfiction,2177.82,9.99,414,"Amazon Digital Services,  Inc.",5886
382,The Joy of Cooking,4.14,102348,1931,fiction,1864.03,8.59,415,Hachette Book Group,5859
383,The Forever War,4.15,87636,1974,fiction,214.83,0.99,416,"Amazon Digital Services,  Inc.",5859
384,Insomnia,3.79,100972,1994,fiction,2311.05,10.65,416,Random House LLC,5859
385,Reading Lolita in Tehran: A Memoir in Books,3.57,94696,2003,fiction,1072.85,4.99,419,"Amazon Digital Services,  Inc.",5805
386,The Blade Itself,4.14,97501,2006,fiction,1717.85,7.99,419,Random House LLC,5805
387,The Arctic Incident,3.94,108031,2002,nonfiction,642.85,2.99,420,"Amazon Digital Services,  Inc.",5805
388,The Shipping News,3.83,103151,1993,fiction,1281.86,5.99,421,"Amazon Digital Services,  Inc.",5778
390,All the Bright Places,4.19,132087,2015,fiction,423.87,1.99,423,HarperCollins Publishers,5751
392,The Alchemyst: The Secrets of The Immortal Nicholas Flamel,3.84,58396,2007,fiction,1693.88,7.99,425,Penguin Group (USA) LLC,5724
393,The Marriage Plot,3.42,90551,2011,fiction,1080.32,5.12,427,Random House LLC,5697
394,Hija de la fortuna,3.89,89770,1998,fiction,630.89,2.99,428,"Amazon Digital Services,  Inc.",5697
395,Luckiest Girl Alive,3.48,82504,2015,fiction,2007.6,9.56,430,Simon and Schuster Digital Sales Inc,5670
396,"Crank (Crank, #1)",4.16,104168,2004,fiction,833.91,3.99,431,"Amazon Digital Services,  Inc.",5643
397,The Raven Boys,4.05,121727,2012,nonfiction,206.91,0.99,432,"Amazon Digital Services,  Inc.",5643
398,I Am Legend and Other Stories,3.99,98795,1954,fiction,621.92,2.99,433,"Amazon Digital Services,  Inc.",5616
399,Olive Kitteridge,3.78,85019,2008,fiction,205.92,0.99,433,"Amazon Digital Services,  Inc.",5616
400,Not that Kind of Girl,3.33,88251,2014,nonfiction,1245.92,5.99,434,Random House LLC,5616
401,Good to Great: Why Some Companies Make the Leap... and Others Don't,4.04,85277,2001,fiction,1032.93,4.99,436,"Amazon Digital Services,  Inc.",5589
402,Fire,4.12,98180,2009,fiction,2457.95,11.99,439,Penguin Group (USA) LLC,5535
403,En attendant Godot,3.81,98950,1952,fiction,1621.97,7.99,444,Penguin Group (USA) LLC,5481
404,White Fang,3.94,100223,1906,fiction,1703.17,8.39,444,Random House LLC,5481
405,Wolves of the Calla,4.17,98182,2003,fiction,603.98,2.99,445,"Amazon Digital Services,  Inc.",5454
406,His Dark Materials,4.25,88227,2000,fiction,603.98,2.99,445,"Amazon Digital Services,  Inc.",5454
407,The Edge of Never,4.26,117508,2012,fiction,600.99,2.99,447,Simon and Schuster Digital Sales Inc,5427
408,Reconstructing Amelia,3.82,86965,2013,nonfiction,198.99,0.99,447,"Amazon Digital Services,  Inc.",5427
409,The One Plus One,3.94,87412,2014,fiction,399.99,1.99,448,Hachette Book Group,5427
410,The Hours,3.91,97462,1998,fiction,500,2.5,449,HarperCollins Publishers,5400
411,Wallbanger,4.1,134805,2012,nonfiction,1898,9.49,450,"Amazon Digital Services,  Inc.",5400
412,Holidays on Ice,3.95,82591,1997,fiction,595.01,2.99,452,"Amazon Digital Services,  Inc.",5373
413,Desperation,3.8,94821,1996,fiction,196.02,0.99,453,"Amazon Digital Services,  Inc.",5346
414,Passion,3.89,119735,2011,fiction,790.02,3.99,454,"Amazon Digital Services,  Inc.",5346
415,The Kill Order,3.69,96568,2012,fiction,1059.86,5.38,455,Random House LLC,5319
416,Angelfall,4.19,73886,2011,fiction,194.04,0.99,457,"Amazon Digital Services,  Inc.",5292
417,Empire Falls,3.91,90811,2001,fiction,586.04,2.99,458,"Amazon Digital Services,  Inc.",5292
418,The Fires of Heaven,4.13,93227,1993,unknown,1480.05,7.59,459,Random House LLC,5265
419,I'll Give You the Sun,4.14,140937,2014,fiction,583.05,2.99,460,Simon and Schuster Digital Sales Inc,5265
420,Survivor,3.93,49551,1999,fiction,192.06,0.99,462,HarperCollins Publishers,5238
421,Shopaholic and Baby,3.77,98130,2007,fiction,191.07,0.99,463,"Amazon Digital Services,  Inc.",5211
422,The Dark Tower,4.27,93296,2004,fiction,770.07,3.99,463,"Amazon Digital Services,  Inc.",5211
423,Twilight Director's Notebook,4.2,88847,2009,fiction,1726.08,8.99,465,HarperCollins Publishers,5184
424,Shopaholic Abroad,3.75,93498,2001,fiction,1468.79,7.69,468,Penguin Group (USA) LLC,5157
425,"Surely You're Joking, Mr. Feynman! Adventures of a Curious Character",4.29,91625,1984,fiction,948.1,4.99,470,"Amazon Digital Services,  Inc.",5130
426,Linger,3.91,125363,2010,fiction,376.11,1.99,471,"Amazon Digital Services,  Inc.",5103
427,The Complete Anne of Green Gables Boxed Set,4.42,92142,1908,fiction,1510.11,7.99,472,Random House LLC,5103
428,A Portrait of the Artist as a Young Man,3.6,92569,1916,fiction,565.11,2.99,472,Random House LLC,5103
429,The Gathering Storm,4.34,94095,2009,fiction,750.12,3.99,473,"Amazon Digital Services,  Inc.",5076
430,Middlemarch,3.93,95995,1871,nonfiction,186.12,0.99,474,"Amazon Digital Services,  Inc.",5076
431,Point of Retreat,4.3,109344,2012,fiction,185.13,0.99,475,"Amazon Digital Services,  Inc.",5049
432,The Partner,3.89,86870,1997,fiction,746.13,3.99,476,"Amazon Digital Services,  Inc.",5049
433,The Hobbit and The Lord of the Rings,4.59,90907,1973,fiction,184.14,0.99,477,"Amazon Digital Services,  Inc.",5022
434,Thoughtless,4.12,90483,2009,fiction,1114.14,5.99,478,Penguin Group (USA) LLC,5022
435,Presumed Innocent,4.1,91774,1986,fiction,553.15,2.99,479,"Amazon Digital Services,  Inc.",4995
436,The Dark Half,3.74,94624,1989,fiction,550.16,2.99,482,Macmillan,4968
437,Cleopatra: A Life,3.62,73994,2006,fiction,181.17,0.99,483,"Amazon Digital Services,  Inc.",4941
438,The World Is Flat: A Brief History of the Twenty-first Century,3.66,78271,2005,fiction,544.18,2.99,485,Hachette Book Group,4914
439,Steelheart,4.16,76261,2013,fiction,1243.06,6.83,486,Penguin Group (USA) LLC,4914
440,,4.15,95421,1995,fiction,903.19,4.99,488,"Amazon Digital Services,  Inc.",4887
441,Voyage au centre de la Terre,3.84,89410,1864,nonfiction,1726.2,9.59,489,Macmillan,4860
442,The Happiness Project,3.57,94456,2009,fiction,177.21,0.99,491,"Amazon Digital Services,  Inc.",4833
443,The Man in the High Castle,3.66,84180,1962,fiction,2280.46,12.74,492,Hachette Book Group,4833
444,Helter Skelter: The True Story of The Manson Murders,4,92158,1974,fiction,176.22,0.99,493,"Amazon Digital Services,  Inc.",4806
445,,4.44,90574,,nonfiction,532.22,2.99,493,Hachette Book Group,4806
446,Inferno,3.99,87511,1320,fiction,354.22,1.99,493,Hachette Book Group,4806
447,Shadow of Night,4.04,97925,2012,fiction,1242.44,6.98,494,"Amazon Digital Services,  Inc.",4806
448,Leaving Time,3.94,76553,2014,fiction,175.23,0.99,495,"Amazon Digital Services,  Inc.",4779
449,Moon Called,4.18,129150,2006,fiction,350.24,1.99,497,"Amazon Digital Services,  Inc.",4752
450,Blue Bloods,3.68,116687,2006,fiction,702.24,3.99,497,"Amazon Digital Services,  Inc.",4752
451,The Alienist,4.05,96981,1994,fiction,1230.24,6.99,498,HarperCollins Publishers,4752
452,Between the World and Me,4.4,74218,2015,fiction,523.25,2.99,499,"Amazon Digital Services,  Inc.",4725
453,Paradise Lost,3.8,96316,1667,fiction,868.26,4.99,502,"Amazon Digital Services,  Inc.",4698
454,The Big Short: Inside the Doomsday Machine,4.26,37090,2009,fiction,1216.26,6.99,502,Simon and Schuster Digital Sales Inc,4698
455,The Girl Who Loved Tom Gordon,3.56,95768,1999,nonfiction,1346.76,7.74,503,"Amazon Digital Services,  Inc.",4698
456, A Monster Calls,4.36,104579,2011,fiction,1842.45,10.65,505,Random House LLC,4671
457,Towers of Midnight,4.42,91383,2010,fiction,344.27,1.99,505,"Amazon Digital Services,  Inc.",4671
458,The Day of the Jackal,4.25,85883,1971,fiction,171.27,0.99,508,"Amazon Digital Services,  Inc.",4671
459,Rework,3.93,88626,2010,fiction,517.27,2.99,509,Simon and Schuster Digital Sales Inc,4671
460,Attachments,3.95,105414,2011,fiction,170.28,0.99,511,"Amazon Digital Services,  Inc.",4644
461,The Twilight Saga,3.88,89204,2005,fiction,1632.28,9.49,513,Penguin Group (USA) LLC,4644
462,Tell the Wolves I'm Home,4.04,85582,2012,fiction,340.29,1.99,514,"Amazon Digital Services,  Inc.",4617
463,All Creatures Great And Small,4.31,64779,1972,fiction,1024.29,5.99,514,"Amazon Digital Services,  Inc.",4617
464,The Unbecoming of Mara Dyer,4.09,83847,2011,fiction,1879.29,10.99,516,Macmillan,4617
465,Three to Get Deadly,4.14,113400,1997,fiction,1109.79,6.49,517,Hachette Book Group,4617
466,The Scarlet Pimpernel,4.06,93217,1905,fiction,648.09,3.79,517,Hachette Book Group,4617
467,The Monster at the End of This Book,4.45,102184,1971,fiction,340.29,1.99,518,"Amazon Digital Services,  Inc.",4617
468,Tales of a Fourth Grade Nothing,4.09,106435,1972,fiction,508.3,2.99,519,Penguin Group (USA) LLC,4590
469,Shadow and Bone,4.05,135225,2012,fiction,678.3,3.99,519,"Amazon Digital Services,  Inc.",4590
470,Het diner,3.22,74979,2009,fiction,848.3,4.99,520,"Amazon Digital Services,  Inc.",4590
471,Champion,4.37,114623,2013,nonfiction,1688.31,9.99,523,Simon and Schuster Digital Sales Inc,4563
472,Contact,4.11,90917,1985,fiction,1350.31,7.99,524,Random House LLC,4563
473,Lola and the Boy Next Door,4,108370,2011,fiction,674.31,3.99,524,"Amazon Digital Services,  Inc.",4563
474,White Teeth,3.75,82474,1999,fiction,167.31,0.99,524,"Amazon Digital Services,  Inc.",4563
475,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,3.97,61422,2012,fiction,2153.06,12.74,525,Macmillan,4563
476,My Horizontal Life: A Collection of One-Night Stands,3.79,83607,2004,nonfiction,1294.54,7.66,526,Simon and Schuster Digital Sales Inc,4563
477,The Power of Six,4.17,97938,2011,fiction,1843.79,10.91,526,Macmillan,4563
478,The Interestings,3.54,76566,2013,fiction,1342.32,7.99,528,HarperCollins Publishers,4536
479,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,4.65,93001,1988,fiction,166.32,0.99,530,"Amazon Digital Services,  Inc.",4536
480,People of the Book,4,95796,2008,fiction,1291.92,7.69,531,Penguin Group (USA) LLC,4536
481,The Secret Keeper,4.13,89460,2012,fiction,332.33,1.99,532,HarperCollins Publishers,4509
482,Better Homes & Gardens New Cook Book,4.14,93640,1953,nonfiction,165.33,0.99,534,"Amazon Digital Services,  Inc.",4509
483,"So Long, and Thanks for All the Fish",4.08,93774,1984,fiction,1985.63,11.89,535,HarperCollins Publishers,4509
485,The Surgeon,4.1,89468,2001,nonfiction,1835.33,10.99,536,Random House LLC,4509
486,The Girl You Left Behind,3.95,80991,2012,fiction,1152.04,6.94,537,Random House LLC,4482
487,Royal Assassin,4.21,82608,1996,fiction,164.34,0.99,538,"Amazon Digital Services,  Inc.",4482
488,Childhood's End,4.09,87141,1953,fiction,1226.74,7.39,539,"Amazon Digital Services,  Inc.",4482
489, The Tale of Despereaux,4,113066,2004,fiction,1153.35,6.99,541,Penguin Group (USA) LLC,4455
490,"Animal, Vegetable, Miracle: A Year of Food Life",4.03,83881,2007,fiction,823.35,4.99,542,"Amazon Digital Services,  Inc.",4455
491,Heir of Fire,4.53,123843,2014,fiction,163.35,0.99,543,Hachette Book Group,4455
492,,4.1,91046,1994,fiction,823.35,4.99,544,Hachette Book Group,4455
493,The Sweetness at the Bottom of the Pie,3.81,99841,2009,fiction,1757.25,10.65,545,Penguin Group (USA) LLC,4455
494,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,3.92,82090,2003,fiction,162.36,0.99,546,"Amazon Digital Services,  Inc.",4428
495,A Breath of Snow and Ashes,4.43,87098,2005,nonfiction,1746.6,10.65,547,Penguin Group (USA) LLC,4428
496,The Blood of Olympus,4.41,110719,2014,fiction,162.36,0.99,549,"Amazon Digital Services,  Inc.",4428
497,Truly Madly Guilty,3.55,90477,2016,fiction,162.36,0.99,549,"Amazon Digital Services,  Inc.",4428
498,"Saga, Volume One",4.25,131906,2012,fiction,162.36,0.99,550,"Amazon Digital Services,  Inc.",4428
499,The Art of Fielding,3.99,81712,2011,fiction,324.37,1.99,551,"Amazon Digital Services,  Inc.",4401
500,A Moveable Feast,4.04,69992,1964,fiction,813.37,4.99,551,Penguin Group (USA) LLC,4401
501,Fablehaven,4.08,99390,2006,fiction,1470.26,9.02,553,Random House LLC,4401
502,The Wide Window,3.91,118624,2000,fiction,161.37,0.99,554,"Amazon Digital Services,  Inc.",4401
503,Grave Peril,4.18,97736,2001,nonfiction,322.38,1.99,557,"Amazon Digital Services,  Inc.",4374
504,Einstein. His Life and Universe,4.08,71156,2007,nonfiction,322.38,1.99,557,"Amazon Digital Services,  Inc.",4374
505,Effortless,4.37,83085,2011,fiction,160.38,0.99,558,"Amazon Digital Services,  Inc.",4374
506,The Street Lawyer,3.81,80577,1998,fiction,320.39,1.99,561,Random House LLC,4347
507,"Roll of Thunder, Hear My Cry",3.79,92980,1976,nonfiction,642.39,3.99,561,Hachette Book Group,4347
508,Pride and Prejudice and Zombies,3.28,103995,2009,fiction,615.02,3.82,562,"Amazon Digital Services,  Inc.",4347
509,Lets Explore Diabetes with Owls,3.8,81616,2013,fiction,478.4,2.99,565,Macmillan,4320
511,Dirk Gently's Holistic Detective Agency,3.97,89569,1987,nonfiction,478.4,2.99,566,"Amazon Digital Services,  Inc.",4320
512,Rodrick Rules,4.1,91831,2008,fiction,478.4,2.99,567,"Amazon Digital Services,  Inc.",4320
513,Why Not Me?,3.89,74199,2015,fiction,1598.4,9.99,568,Random House LLC,4320
514,Four: A Divergent Collection,4.1,97058,2014,fiction,475.41,2.99,570,"Amazon Digital Services,  Inc.",4293
515,Modern Romance,3.85,94231,2015,fiction,157.41,0.99,571,"Amazon Digital Services,  Inc.",4293
516,The One and Only Ivan,4.24,85136,2012,fiction,475.41,2.99,572,"Amazon Digital Services,  Inc.",4293
517,The Perfect Storm: A True Story of Men Against the Sea,4.07,45382,1997,fiction,634.41,3.99,572,Hachette Book Group,4293
518,Elantris,4.17,95950,2005,fiction,314.42,1.99,574,Simon and Schuster Digital Sales Inc,4266
519,The Knife of Never Letting Go,3.96,99638,2008,fiction,1136.02,7.19,575,"Amazon Digital Services,  Inc.",4266
520,One Thousand White Women: The Journals of May Dodd,3.88,84367,1998,fiction,472.42,2.99,576,"Amazon Digital Services,  Inc.",4266
521,Handle with Care,3.96,90138,2009,fiction,1420.42,8.99,577,HarperCollins Publishers,4266
522,Song of Susannah,3.98,84957,2004,fiction,469.43,2.99,578,"Amazon Digital Services,  Inc.",4239
523,Reached,3.56,109290,2012,fiction,155.43,0.99,580,"Amazon Digital Services,  Inc.",4239
524,Midnight's Children,3.99,75502,1981,nonfiction,1474.23,9.39,581,"Amazon Digital Services,  Inc.",4239
525,The Zombie Survival Guide: Complete Protection from the Living Dead,3.86,82535,2004,fiction,154.44,0.99,585,"Amazon Digital Services,  Inc.",4212
526,The Testament,3.83,80377,1999,nonfiction,778.44,4.99,585,Random House LLC,4212
527,Murder at the Vicarage,4.03,93963,1930,nonfiction,669.24,4.29,586,HarperCollins Publishing,4212
528,Among the Hidden,3.97,94478,1998,fiction,2106.45,13.59,589,HarperCollins Publishers,4185
529,In Defense of Food: An Eater's Manifesto,4.07,80434,2007,fiction,618.45,3.99,589,"Amazon Digital Services,  Inc.",4185
530,The Witch of Blackbird Pond,3.97,105770,1958,nonfiction,1230.46,7.99,591,Penguin Group (USA) LLC,4158
531,The Heir,3.85,111044,2015,fiction,614.46,3.99,592,"Amazon Digital Services,  Inc.",4158
532,Shopaholic Ties the Knot,3.77,88139,2002,fiction,460.46,2.99,594,"Amazon Digital Services,  Inc.",4158
533,The Woman in White,3.98,93134,1859,fiction,768.46,4.99,594,"Amazon Digital Services,  Inc.",4158
534,Career of Evil,4.21,66979,2015,fiction,1167.32,7.58,595,Penguin Group (USA) LLC,4158
